product_id,verified_purchase,star_rating,helpful_votes,review_body
1450860168,1,2.0,0,1
1586637304,1,1.0,3,1
448448564,1,5.0,1,1
9533223049,1,3.0,1,1
9729375011,1,5.0,0,1
989600840X,2,5.0,0,2
B00000JRTC,1,3.0,0,1
B00003TL7P,2,5.0,7,2
B00003XAKR,3,5.0,1,3
B000047CLX,1,3.0,0,1
B0000482F9,1,1.0,0,1
B00004D3ES,1,3.0,0,1
B00004TFLB,9,4.555555555555555,2,9
B0000537ER,12,4.333333333333333,2,12
B00005610Y,1,5.0,9,1
B000056C86,5,3.8,10,5
B000056HKJ,1,5.0,0,1
B000056HKN,1,3.0,0,1
B000056HM8,1,2.0,0,1
B000056HMB,1,3.0,0,1
B000056IZE,1,5.0,0,1
B000056J1C,1,5.0,0,1
B000056J8C,1,5.0,4,1
B000056J9F,1,5.0,0,1
B000056JAK,1,5.0,0,1
B000056JHN,1,1.0,2,1
B000056JHP,1,5.0,1,1
B000056JJ8,1,4.0,0,1
B000056JJF,1,2.0,1,1
B000056JKR,1,1.0,7,1
B000056JMU,2,4.5,2,2
B000056OUF,1,4.0,0,1
B000056OUG,1,5.0,0,1
B000056OUH,1,4.0,1,1
B000056OUO,1,5.0,1,1
B000056OUX,1,5.0,0,1
B000056OV0,3,3.3333333333333335,6,3
B000056OWC,1,1.0,1,1
B000056OWT,1,2.0,3,1
B000056W6F,1,5.0,0,1
B000056W7R,1,5.0,0,1
B000058CC4,1,5.0,6,1
B000058CC7,2,3.5,0,2
B000058DQB,1,3.0,12,1
B000058DQJ,1,5.0,0,1
B000059H06,1,5.0,0,1
B00005BLBP,1,5.0,0,1
B00005BMDX,1,5.0,0,1
B00005BPEU,1,4.0,0,1
B00005BPK8,1,1.0,3,1
B00005BRCN,1,5.0,1,1
B00005BSXI,2,4.5,3,2
B00005BTC5,1,5.0,0,1
B00005BUB0,1,5.0,0,1
B00005BXKM,3,4.333333333333333,0,3
B00005BYUJ,1,5.0,0,1
B00005C0KD,38,4.2368421052631575,19,38
B00005C1HC,1,5.0,0,1
B00005C5H4,1,5.0,0,1
B00005C8C4,1,5.0,1,1
B00005JIVI,1,5.0,2,1
B00005NEAB,1,5.0,0,1
B00005OONH,1,4.0,5,1
B00005Q5DB,1,5.0,2,1
B00005QI1G,1,4.0,2,1
B00005U8T5,3,3.6666666666666665,2,3
B00005UC6D,1,5.0,6,1
B00005UC6Q,1,1.0,2,1
B00005V6C8,1,3.0,0,1
B00005YWN0,2,1.5,11,2
B00005YYE3,1,2.0,0,1
B00006408K,2,2.5,16,2
B0000645DP,1,4.0,2,1
B0000649E5,1,5.0,3,1
B000066665,1,5.0,0,1
B000066CMV,1,2.0,3,1
B000067EH7,8,4.125,8,8
B000067K0L,3,5.0,7,3
B000067PQ0,3,4.666666666666667,0,3
B000067QMD,1,5.0,0,1
B000069670,1,5.0,7,1
B00006AKYN,12,4.083333333333333,4,12
B00006F2GC,1,4.0,3,1
B00006FWVR,2,2.0,0,2
B0000798L0,1,4.0,0,1
B00007B76C,1,1.0,4,1
B00007C65S,20,3.6,67,20
B00007DWBH,1,5.0,0,1
B00007L5WU,1,5.0,0,1
B00007LP1D,1,5.0,1,1
B000083GHY,4,4.5,0,4
B00008439C,2,3.5,0,2
B000087L2U,1,4.0,4,1
B00008E1GK,1,5.0,12,1
B00008MIHO,1,4.0,1,1
B00008ODBG,1,3.0,0,1
B00008X35T,1,5.0,1,1
B00008XL2W,1,1.0,6,1
B000096M2Z,2,4.0,0,2
B000096PG0,1,5.0,0,1
B000096QQ5,1,5.0,0,1
B000099Z9K,1,3.0,71,1
B00009IM9V,3,2.6666666666666665,4,3
B00009IMCK,4,4.0,0,4
B00009IMD8,1,4.0,0,1
B00009KX73,1,5.0,0,1
B00009NQTY,1,4.0,0,1
B00009Q6G6,2,5.0,9,2
B00009VE5J,1,5.0,5,1
B00009VE6W,1,3.0,15,1
B0000A1O7P,3,4.333333333333333,0,3
B0000ARQHL,2,3.0,11,2
B0000AY9XV,1,5.0,2,1
B0000BUSJV,1,5.0,2,1
B0000BX8L0,1,3.0,5,1
B0000BX8MS,1,5.0,0,1
B0000CARJQ,1,5.0,0,1
B0000CCOJM,1,5.0,5,1
B0000D14PW,1,5.0,5,1
B0000D9SR8,1,1.0,1,1
B0000D9SS4,2,5.0,19,2
B0000DEW8N,5,4.6,1,5
B0000DEW8Y,1,5.0,0,1
B0000DEW91,2,4.0,0,2
B0000DH5TU,2,2.0,2,2
B0000E0QA4,1,1.0,4,1
B0000E262S,2,5.0,2,2
B0000E2DIE,1,5.0,0,1
B0000TYHD2,2,5.0,16,2
B0000YGM9Y,1,4.0,0,1
B0000ZG71Q,1,4.0,0,1
B00012CHFI,1,1.0,2,1
B00012FGA6,1,4.0,0,1
B000138GNY,1,2.0,0,1
B00014PLAO,1,5.0,0,1
B00014PLAY,2,2.5,2,2
B00014PLGS,1,5.0,27,1
B00018XCS8,2,4.5,9,2
B00019299K,1,5.0,4,1
B0001929A4,1,5.0,4,1
B0001CTZ8K,2,3.5,0,2
B0001EM8I2,4,4.5,0,4
B0001IU5HY,2,5.0,3,2
B0001NE340,1,5.0,4,1
B0001NE8OA,1,1.0,5,1
B0001WAO9O,1,5.0,2,1
B0001X0DTO,1,2.0,0,1
B0001YIAIO,1,5.0,0,1
B00020L78M,2,5.0,0,2
B00020L79Q,1,5.0,0,1
B00020V5A2,10,4.0,16,10
B00021D1GC,2,3.5,2,2
B000231GEO,1,5.0,14,1
B000246T54,2,2.0,4,2
B00024JSF2,2,5.0,0,2
B000262HNU,1,5.0,0,1
B00028XJNA,3,2.3333333333333335,29,3
B00029HJGM,1,1.0,0,1
B00029T4D8,1,4.0,2,1
B00029TCNK,1,4.0,19,1
B00029TCNU,1,5.0,0,1
B00029TCPI,1,4.0,0,1
B00029TCUI,1,5.0,0,1
B00029TCWG,1,1.0,0,1
B0002E7DIQ,1,5.0,0,1
B0002EH3PE,1,5.0,5,1
B0002EO59Q,1,2.0,4,1
B0002FQUEI,1,4.0,0,1
B0002HXQLG,1,5.0,2,1
B0002JETO2,1,5.0,0,1
B0002JETOC,1,2.0,39,1
B0002JETOM,17,4.411764705882353,9,17
B0002JETPQ,1,3.0,1,1
B0002KWTHK,1,1.0,0,1
B0002L4ZCG,1,1.0,5,1
B0002OT00U,4,4.75,0,4
B0002OZBT4,1,5.0,2,1
B0002Q2OPG,1,5.0,1,1
B0002SAHWQ,1,4.0,4,1
B0002U1SFE,1,5.0,9,1
B0002VAF3Y,1,5.0,0,1
B0002VO42C,1,5.0,6,1
B0002XO5M4,1,5.0,5,1
B0002ZOI92,1,1.0,5,1
B0002ZOI9W,3,4.333333333333333,245,3
B00031XUG2,1,1.0,1,1
B000324Y7U,2,3.5,6,2
B000325T8S,1,5.0,0,1
B00062J8XC,1,1.0,39,1
B00063EDF4,1,4.0,0,1
B00064ATVK,1,5.0,5,1
B00064MJDQ,1,5.0,0,1
B0006512K6,1,4.0,0,1
B00065H55W,1,2.0,2,1
B00067AUNY,57,3.982456140350877,66,57
B00067AUP2,3,4.333333333333333,2,3
B00067TA1W,1,5.0,58,1
B00067TADK,1,5.0,2,1
B00067X0PE,1,3.0,5,1
B00068O22S,2,5.0,0,2
B00068O250,1,5.0,0,1
B00068O26O,1,1.0,0,1
B0006B2QPA,1,5.0,1,1
B0006B4BVC,1,5.0,3,1
B0006BAJN6,4,4.75,0,4
B0006BAJNG,2,5.0,0,2
B0006FHB5Q,18,4.277777777777778,4,18
B0006FHBB0,2,5.0,0,2
B0006FHBBA,2,3.0,0,2
B0006FHFYS,2,4.0,2,2
B0006GD7P8,1,5.0,1,1
B0006GDGAE,1,5.0,4,1
B0006GUY18,2,4.5,1,2
B0006HBRYA,1,5.0,4,1
B0006HBS1M,5,3.4,3,5
B0006HJDQE,2,4.0,16,2
B0006HJDQO,1,4.0,0,1
B0006Q561Q,1,5.0,0,1
B0006UF43M,1,2.0,7,1
B0006ZZB0I,3,3.3333333333333335,0,3
B00073HJG8,11,4.363636363636363,4,11
B00073HJGI,1,2.0,2,1
B00074FY9Q,1,5.0,0,1
B00075RZUG,1,5.0,7,1
B00078ZHPS,1,5.0,1,1
B00078ZI7K,1,5.0,0,1
B0007CQ6PE,1,1.0,3,1
B0007CS4EU,3,4.333333333333333,0,3
B0007D698W,1,5.0,1,1
B0007G6KEW,2,3.5,0,2
B0007IEJNY,1,4.0,4,1
B0007KMUFG,1,4.0,0,1
B0007KMUH4,2,5.0,1,2
B0007LQKN8,1,5.0,0,1
B0007NC7K6,1,1.0,3,1
B0007OD8SU,11,3.3636363636363638,35,11
B0007V62OU,1,3.0,1,1
B0007V644S,3,4.666666666666667,0,3
B0007VVGW8,1,5.0,2,1
B0007VVH2C,1,4.0,0,1
B0007XTN6M,1,1.0,0,1
B0007Y13U0,1,5.0,3,1
B0007Y3EGG,1,5.0,0,1
B0007YDCBS,1,1.0,0,1
B0007ZAGAW,1,3.0,3,1
B0007ZAGQG,1,5.0,1,1
B00080LZVA,1,5.0,0,1
B00081H75M,1,1.0,0,1
B00081J3MW,1,5.0,0,1
B00081J3N6,2,5.0,1,2
B00081L334,1,5.0,0,1
B00081L4YW,1,5.0,0,1
B00081MLRG,1,5.0,18,1
B00083HK0M,2,5.0,0,2
B0008GLKMS,1,4.0,1,1
B00092A798,1,5.0,0,1
B00094JP4E,1,4.0,0,1
B0009A4FBQ,1,4.0,0,1
B0009EFYJE,1,4.0,0,1
B0009ET49K,1,4.0,0,1
B0009ET8E6,1,4.0,0,1
B0009ET94A,2,5.0,0,2
B0009EXN10,2,4.0,1,2
B0009EXOGE,1,5.0,0,1
B0009F3MGU,1,5.0,3,1
B0009F3OZE,1,3.0,0,1
B0009F5B7I,1,4.0,0,1
B0009JB3A8,3,4.666666666666667,0,3
B0009JOSNC,1,4.0,0,1
B0009JOSNM,7,3.857142857142857,9,7
B0009MASHO,1,5.0,0,1
B0009N4DSS,1,4.0,0,1
B0009OLSY4,1,5.0,0,1
B0009OLSZ8,2,4.5,0,2
B0009PAN7Q,5,4.4,0,5
B0009QYSO4,2,3.0,1,2
B0009QYTIY,1,5.0,0,1
B0009RG8R8,4,3.75,3,4
B0009RNXNA,3,4.666666666666667,1,3
B0009UBRXA,1,1.0,2,1
B0009V0TBU,1,5.0,0,1
B0009XAHWO,1,5.0,0,1
B0009XBWLY,1,5.0,0,1
B0009XBX4K,1,5.0,0,1
B0009YSFP4,1,5.0,0,1
B0009Z3NIW,1,5.0,3,1
B000A6OLM2,2,5.0,0,2
B000A796WG,3,2.6666666666666665,2,3
B000A7SBX6,1,4.0,0,1
B000A7V1EM,2,4.5,0,2
B000A88JR8,1,1.0,1,1
B000A88JZ0,1,4.0,1,1
B000A88JZA,1,5.0,0,1
B000A88KC2,1,5.0,0,1
B000AHPMG0,1,5.0,0,1
B000AKB4IM,162,3.950617283950617,103,162
B000AKB4JG,17,4.176470588235294,17,17
B000ALFVQ2,2,5.0,0,2
B000AMXPJG,1,5.0,0,1
B000AV5LZ8,6,4.166666666666667,0,6
B000AVKOPK,1,5.0,0,1
B000B4SVME,1,5.0,0,1
B000B74DYG,1,5.0,7,1
B000B74DZ0,1,5.0,0,1
B000B756FG,1,5.0,0,1
B000B90G9K,1,1.0,0,1
B000BFP0HC,2,3.0,6,2
B000BFSMD6,1,5.0,0,1
B000BGOGF8,1,4.0,0,1
B000BH79U6,1,4.0,3,1
B000BIZ87Q,15,3.933333333333333,67,15
B000BK8QX2,1,1.0,5,1
B000BM8FR2,1,1.0,0,1
B000BMKEVC,1,5.0,0,1
B000BN9ZZM,1,5.0,1,1
B000BNQC58,11,4.454545454545454,12,11
B000BPMJR6,4,3.75,4,4
